instance_size,execution_time
10,20
10,19
10,14
10,22
10,21
10,12
10,21
10,19
10,21
10,20
20,34
20,30
20,34
20,40
20,41
20,31
20,49
20,49
20,35
20,36
30,59
30,99
30,66
30,83
30,69
30,70
30,80
30,84
30,83
30,84
40,160
40,122
40,163
40,208
40,146
40,157
40,174
40,143
40,139
40,191
50,214
50,347
50,354
50,324
50,258
50,360
50,317
50,368
50,253
50,417
60,808
60,772
60,611
60,877
60,779
60,433
60,758
60,710
60,653
60,738
70,1168
70,1352
70,1465
70,1274
70,1322
70,1454
70,1514
70,1570
70,1673
70,1342
80,3697
80,2343
80,2873
80,2527
80,1913
80,2920
80,2680
80,2584
80,3145
80,3270
90,6003
90,4258
90,5986
90,4344
90,5252
90,4146
90,4817
90,4316
90,5584
90,4952
100,11940
100,10203
100,10104
100,6595
100,11883
100,11762
100,10051
100,10866
100,10746
100,10980
